,ID,Default_Status,Loan_amount,Interest,Maturity,Credit_scores,Length,Readability_1,Readability_2,Readability_3,Attitude,Work_Info,Income_Info,Explanation,Guarantee,Thanks,Request,Usage_1,Usage_2,Usage_3,Usage_4,Usage_5,Usage_6,Age,Is_Married,Income_Level,Car,House,Car_Loan,House_Loan
0,1,1.0,0.014084507042253518,0.26666666666666666,0.09090909090909093,0.4666666666666667,0.07415730337078652,0.07272727272727272,0.1833348611238427,0.11294836825996915,0.2631577008309739,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3809523809523809,0.0,0.8,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.06666666666666668,0.0,0.6952380952380952,0.18876404494382024,0.14545454545454545,0.16116967641397012,0.2592124843560777,0.2631577008309739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19047619047619047,1.0,0.4,0.0,0.0,0.0,0.0
2,3,1.0,1.0,0.4,0.2727272727272727,0.8619047619047621,0.026966292134831458,0.03636363636363636,0.19297827481895685,0.04469178074845182,0.5701759395199841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,1.0
3,4,1.0,0.004024144869215292,0.8666666666666667,0.0,0.16666666666666666,0.09887640449438202,0.12727272727272726,0.2516270968924741,0.08694553370040296,0.38200317947452095,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.8,0.0,0.0,0.0,0.0
4,5,0.0,0.29577464788732394,0.26666666666666666,0.18181818181818185,0.6238095238095238,0.0651685393258427,0.0,0.0,0.9710311826904726,0.2631577008309739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,1.0,1.0,0.0,0.0,0.0
5,6,0.0,0.09456740442655936,0.4,0.09090909090909093,0.5238095238095238,0.12134831460674154,0.054545454545454536,0.09016408470070583,0.13014083752237013,0.4570632781745469,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,0.0,1.0,1.0,0.0,0.0,0.0
6,7,1.0,0.29577464788732394,0.4,0.2727272727272727,0.3428571428571429,0.09662921348314607,0.054545454545454536,0.11000091667430563,0.12457451281080588,0.2631577008309739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30952380952380953,0.0,1.0,1.0,1.0,0.0,0.0
7,8,1.0,0.5975855130784707,0.4,0.2727272727272727,0.7190476190476189,0.08089887640449438,0.09090909090909093,0.21318177651480427,0.0999471459990075,0.8157894252077434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,1.0,0.0,1.0,0.0,0.0
8,9,1.0,0.1951710261569416,0.4,0.09090909090909093,0.5238095238095238,0.11685393258426968,0.03636363636363636,0.062150517920982674,0.18795562978578625,0.6882586021733164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285714285715,0.0,1.0,0.0,0.0,0.0,0.0
9,10,0.0,0.034205231388329975,0.4,0.09090909090909093,0.5238095238095238,0.08764044943820225,0.0,0.0,0.9710311826904726,0.2631577008309739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.6,0.0,0.0,0.0,0.0
10,11,0.0,0.02414486921529175,0.4,0.6363636363636364,0.5714285714285714,0.18876404494382024,0.16363636363636366,0.1813181776514804,0.12269930933304304,0.3289472181440048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.2,1.0,1.0,1.0,1.0
11,12,1.0,0.01006036217303823,0.3333333333333333,0.09090909090909093,0.4095238095238095,0.34831460674157305,0.12727272727272726,0.07921899349161242,1.0,0.2989267891912603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30952380952380953,0.0,0.2,0.0,1.0,0.0,1.0
12,13,0.0,0.014084507042253518,0.06666666666666668,0.0,0.4571428571428571,0.10112359550561796,0.16363636363636366,0.3173159776331469,0.06663139816286809,0.4306218764794412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21428571428571427,1.0,1.0,0.0,1.0,0.0,0.0
13,14,0.0,0.1951710261569416,0.4,0.09090909090909093,0.5238095238095238,0.6921348314606741,0.6363636363636364,0.2037033641947016,0.3609189926529,0.30320342189563737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285714285715,0.0,0.8,1.0,1.0,0.0,0.0
14,15,1.0,0.004024144869215292,0.6,0.4545454545454545,0.26666666666666666,0.3325842696629214,0.4363636363636363,0.28387569896415804,0.11155495878062686,0.3859648120960032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.4,0.0,1.0,0.0,0.0
15,16,0.0,0.05432595573440644,0.4,0.18181818181818185,0.4571428571428571,0.3775280898876405,0.2545454545454545,0.14666788889907414,0.18403672656851786,0.39609307791923104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0
16,17,1.0,0.01006036217303823,0.4,0.2727272727272727,0.4571428571428571,0.2292134831460674,0.14545454545454545,0.13454945457878814,0.3372200129406689,0.33991216839793903,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.8,1.0,1.0,1.0,0.0
